card,segment,abc_revenue
2000200195696,Лояльные,A
2000200211228,Лояльные,A
2000200239871,Лояльные,A
2000200243427,Лояльные,A
2000200166474,Лояльные,A
2000200188308,Лояльные,A
2000200224457,Лояльные,A
2000200196181,Лояльные,A
2000200204459,Лояльные,A
2000200227588,Лояльные,A
2000200226925,Лояльные,A
2000200182467,Лояльные,A
2000200189367,Лояльные,A
2000200258155,Лояльные,A
2000200175346,Лояльные,A
2000200178378,Лояльные,A
2000200170884,Лояльные,A
2000200170839,Лояльные,A
2000200210108,Лояльные,A
2000200182702,Лояльные,A
2000200244141,Лояльные,A
2000200208945,Лояльные,A
2000200160106,Лояльные,A
2000200209485,Лояльные,A
2000200184713,Лояльные,A
2000200209829,Лояльные,A
2000200194507,Лояльные,A
2000200197904,Лояльные,A
2000200209232,Лояльные,A
2000200214229,Лояльные,A
2000200218739,Лояльные,A
2000200219132,Лояльные,A
2000200237143,Лояльные,A
2000200198444,Лояльные,A
2000200242130,Лояльные,A
2000200208648,Лояльные,A
2000200207115,Лояльные,A
2000200230021,Лояльные,A
2000200259435,Лояльные,A
2000200193852,Лояльные,A
2000200158462,Лояльные,A
2000200208136,Лояльные,A
2000200154419,Лояльные,A
2000200240044,Лояльные,A
2000200163961,Лояльные,A
2000200245520,Лояльные,A
2000200233374,Лояльные,A
2000200234500,Лояльные,A
2000200198413,Лояльные,A
2000200224150,Лояльные,A
2000200234111,Лояльные,A
2000200164999,Лояльные,A
2000200202066,Лояльные,A
2000200215509,Лояльные,A
2000200222224,Лояльные,A
2000200195917,Лояльные,A
2000200237754,Лояльные,A
2000200178736,Лояльные,A
2000200239925,Лояльные,A
2000200217855,Лояльные,A
2000200244776,Лояльные,A
2000200209003,Лояльные,A
2000200161172,Лояльные,A
2000200237488,Лояльные,A
2000200183518,Лояльные,A
2000200187066,Лояльные,A
2000200228905,Лояльные,A
2000200212546,Лояльные,A
2000200169918,Лояльные,A
2000200227854,Лояльные,A
2000200185499,Лояльные,A
2000200226673,Лояльные,A
2000200232711,Лояльные,A
2000200197362,Лояльные,A
2000200228585,Лояльные,A
2000200235354,Лояльные,A
2000200236795,Лояльные,A
2000200237266,Лояльные,A
2000200182412,Лояльные,A
2000200185024,Лояльные,A
2000200199083,Лояльные,A
2000200214304,Лояльные,A
2000200172697,Лояльные,A
2000200244127,Лояльные,A
2000200238362,Лояльные,A
2000200150855,Лояльные,A
2000200205647,Лояльные,A
2000200222521,Лояльные,A
2000200186434,Лояльные,A
2000200244400,Лояльные,A
2000200196815,Лояльные,A
2000200152866,Лояльные,A
2000200211778,Лояльные,A
2000200239659,Лояльные,A
2000200227533,Лояльные,A
2000200229308,Лояльные,A
2000200226093,Лояльные,A
2000200154815,Лояльные,A
2000200221524,Лояльные,A
